date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:48	50/50	---MCZ	200	added ('OK')	text/plain	etag:W/%22650067a6-1e%22	https://storage.y8.com/robots.txt		(from )
21:06:48	1537/1537	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20May%202025%2001:06:47%20GMT	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/indexc167.html	(from )
21:06:49	764/764	---MCZ	200	added ('OK')	application/json	etag:W/%2266d880e2-2fc%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/appmanifest.json	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/appmanifest.json	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:49	2470/2470	---M--	200	added ('OK')	image/png	etag:%2266d88101-9a6%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/icons/icon-128.png	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/icons/icon-128.png	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:49	5275/5275	---M--	200	added ('OK')	image/png	etag:%2266d88102-149b%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/icons/icon-256.png	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/icons/icon-256.png	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:49	11811/11811	---M--	200	added ('OK')	image/png	etag:%2266d88103-2e23%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/icons/icon-512.png	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/icons/icon-512.png	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:49	1889/1889	---MCZ	200	added ('OK')	text/css	etag:W/%2266d880e0-761%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/style.css	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/style.css	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:50	196/196	---MCZ	200	added ('OK')	application/javascript	etag:W/%22682c46d9-c4%22	https://img.y8.com/prevent-keys.js	C:/Users/gvrel/Downloads/0413/trappathlevel/img.y8.com/prevent-keys.js	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:50	117/117	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d880e9-75%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/modernjscheck.js	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/modernjscheck.js	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:50	2522/2522	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d880ec-9da%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/supportcheck.js	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/supportcheck.js	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:51	603/603	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d880ea-25b%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/offlineclient.js	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/offlineclient.js	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:51	144951/144951	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d880e9-23637%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/main.js	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/main.js	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
21:06:51	303/303	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266d880eb-12f%22	https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/register-sw.js	C:/Users/gvrel/Downloads/0413/trappathlevel/storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/scripts/register-sw.js	(from https://storage.y8.com/y8-studio/html5/Gani/level-devil-trap-path/?key=y8&value=default)
